Location,Arrest,Count
CURRENCY EXCHANGE,TRUE,3
JAIL / LOCK-UP FACILITY,TRUE,2
APARTMENT,TRUE,32
STREET,TRUE,43
ALLEY,TRUE,5
SMALL RETAIL STORE,TRUE,7
OTHER,TRUE,6
SIDEWALK,TRUE,17
"SCHOOL, PRIVATE, BUILDING",FALSE,2
,FALSE,11
RESIDENCE,FALSE,172
APARTMENT,FALSE,135
"SCHOOL, PUBLIC, BUILDING",FALSE,10
OTHER,FALSE,35
HOTEL/MOTEL,FALSE,5
VEHICLE NON-COMMERCIAL,FALSE,13
GAS STATION,TRUE,6
RESIDENTIAL YARD (FRONT/BACK),FALSE,13
RESIDENCE-GARAGE,FALSE,24
POOL ROOM,FALSE,2
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,FALSE,2
VACANT LOT/LAND,FALSE,1
STREET,FALSE,162
RESIDENCE,TRUE,21
RESIDENTIAL YARD (FRONT/BACK),TRUE,5
COMMERCIAL / BUSINESS OFFICE,FALSE,5
SMALL RETAIL STORE,FALSE,16
ATHLETIC CLUB,FALSE,3
RESTAURANT,FALSE,25
CONVENIENCE STORE,FALSE,4
CTA STATION,FALSE,6
SIDEWALK,FALSE,34
GAS STATION,FALSE,18
PARKING LOT/GARAGE(NON.RESID.),FALSE,33
TAVERN/LIQUOR STORE,FALSE,3
GOVERNMENT BUILDING/PROPERTY,FALSE,3
CTA BUS STOP,FALSE,2
ALLEY,FALSE,11
ATM (AUTOMATIC TELLER MACHINE),FALSE,2
CHA APARTMENT,TRUE,1
LIBRARY,FALSE,1
CTA TRAIN,FALSE,9
RESIDENCE PORCH/HALLWAY,FALSE,14
GROCERY FOOD STORE,TRUE,6
"SCHOOL, PUBLIC, BUILDING",TRUE,6
DEPARTMENT STORE,FALSE,7
DRIVEWAY - RESIDENTIAL,FALSE,6
DEPARTMENT STORE,TRUE,12
CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,1
DRUG STORE,FALSE,4
CTA BUS,FALSE,5
RESIDENCE-GARAGE,TRUE,1
GROCERY FOOD STORE,FALSE,4
LIBRARY,TRUE,2
RESTAURANT,TRUE,2
VEHICLE NON-COMMERCIAL,TRUE,6
HOSPITAL BUILDING/GROUNDS,TRUE,1
POLICE FACILITY/VEH PARKING LOT,TRUE,2
GOVERNMENT BUILDING/PROPERTY,TRUE,1
CHA APARTMENT,FALSE,1
CTA PLATFORM,FALSE,1
TAXICAB,FALSE,2
PARKING LOT/GARAGE(NON.RESID.),TRUE,8
BAR OR TAVERN,FALSE,4
ABANDONED BUILDING,FALSE,2
FIRE STATION,FALSE,1
BANK,FALSE,1
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,2
"SCHOOL, PRIVATE, GROUNDS",FALSE,1
RESIDENCE PORCH/HALLWAY,TRUE,4
MEDICAL/DENTAL OFFICE,FALSE,2
COMMERCIAL / BUSINESS OFFICE,TRUE,1
AIRCRAFT,FALSE,1
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,TRUE,1
"SCHOOL, PUBLIC, GROUNDS",FALSE,3
OTHER COMMERCIAL TRANSPORTATION,TRUE,1
CHA PARKING LOT/GROUNDS,FALSE,1
CONSTRUCTION SITE,FALSE,1
COIN OPERATED MACHINE,FALSE,1
DRUG STORE,TRUE,1
CTA STATION,TRUE,1
CTA PLATFORM,TRUE,1
DAY CARE CENTER,FALSE,1
CHA HALLWAY/STAIRWELL/ELEVATOR,FALSE,1
PARK PROPERTY,FALSE,1
HOTEL/MOTEL,TRUE,2
VEHICLE-COMMERCIAL,FALSE,1
CONVENIENCE STORE,TRUE,1
VEHICLE - DELIVERY TRUCK,FALSE,1
NURSING HOME/RETIREMENT HOME,FALSE,3
PARK PROPERTY,TRUE,1
BAR OR TAVERN,TRUE,1
VEHICLE-COMMERCIAL,TRUE,1
HOSPITAL BUILDING/GROUNDS,FALSE,1
OTHER COMMERCIAL TRANSPORTATION,FALSE,1
CTA GARAGE / OTHER PROPERTY,TRUE,1
