Year,Type of Crime,Date,Time,Latitude,Longitude,Location,Arrest
2017,DECEPTIVE PRACTICE,3/1/2018,3:52:00 PM,42.0122934,-87.69971411,CURRENCY EXCHANGE,TRUE
2017,CRIMINAL DAMAGE,3/1/2018,3:52:00 PM,41.91871165,-87.76551063,JAIL / LOCK-UP FACILITY,TRUE
2017,OTHER OFFENSE,3/1/2018,3:52:00 PM,41.81466978,-87.6907267,APARTMENT,TRUE
2017,DECEPTIVE PRACTICE,3/1/2018,3:52:00 PM,41.93858144,-87.76583058,CURRENCY EXCHANGE,TRUE
2017,CRIM SEXUAL ASSAULT,3/1/2018,3:52:00 PM,41.8958051,-87.68315936,STREET,TRUE
2017,WEAPONS VIOLATION,2/11/2018,3:54:00 PM,41.78742694,-87.62175873,ALLEY,TRUE
2017,ROBBERY,2/11/2018,3:54:00 PM,41.70706214,-87.63148256,SMALL RETAIL STORE,TRUE
2017,THEFT,2/11/2018,3:54:00 PM,41.84451047,-87.70551945,OTHER,TRUE
2017,OTHER OFFENSE,2/11/2018,3:54:00 PM,41.84377813,-87.69463768,JAIL / LOCK-UP FACILITY,TRUE
2017,ROBBERY,2/11/2018,3:54:00 PM,41.89447592,-87.70216916,SIDEWALK,TRUE
2017,ROBBERY,2/11/2018,3:54:00 PM,41.89510124,-87.68437857,STREET,TRUE
2017,DECEPTIVE PRACTICE,3/1/2018,3:52:00 PM,,,CURRENCY EXCHANGE,TRUE
2017,ARSON,3/1/2018,3:54:00 PM,41.83257109,-87.70468577,"SCHOOL, PRIVATE, BUILDING",FALSE
2018,DECEPTIVE PRACTICE,2/11/2018,3:57:00 PM,,,,FALSE
2017,CRIM SEXUAL ASSAULT,2/11/2018,3:57:00 PM,,,RESIDENCE,FALSE
2017,THEFT,2/11/2018,3:57:00 PM,,,RESIDENCE,FALSE
2017,OTHER OFFENSE,2/11/2018,3:57:00 PM,,,APARTMENT,FALSE
2017,OFFENSE INVOLVING CHILDREN,2/11/2018,3:57:00 PM,,,RESIDENCE,FALSE
2017,OFFENSE INVOLVING CHILDREN,2/11/2018,3:57:00 PM,,,RESIDENCE,FALSE
2017,OFFENSE INVOLVING CHILDREN,2/11/2018,3:57:00 PM,,,APARTMENT,FALSE
2017,SEX OFFENSE,2/11/2018,3:57:00 PM,,,"SCHOOL, PUBLIC, BUILDING",FALSE
2017,OFFENSE INVOLVING CHILDREN,2/11/2018,3:57:00 PM,,,APARTMENT,FALSE
2017,BURGLARY,2/11/2018,3:57:00 PM,,,OTHER,FALSE
2017,CRIMINAL DAMAGE,2/11/2018,3:57:00 PM,,,APARTMENT,FALSE
2017,DECEPTIVE PRACTICE,2/11/2018,3:57:00 PM,,,,FALSE
2017,CRIM SEXUAL ASSAULT,2/11/2018,3:57:00 PM,,,HOTEL/MOTEL,FALSE
2017,ARSON,2/12/2018,3:49:00 PM,41.75564461,-87.64050812,VEHICLE NON-COMMERCIAL,FALSE
2017,BATTERY,2/12/2018,3:46:00 PM,41.85279603,-87.6966622,APARTMENT,TRUE
2017,DECEPTIVE PRACTICE,2/12/2018,3:46:00 PM,41.71272093,-87.68181398,GAS STATION,TRUE
2017,THEFT,2/12/2018,3:46:00 PM,41.69006147,-87.61820129,RESIDENTIAL YARD (FRONT/BACK),FALSE
2018,THEFT,2/12/2018,3:49:00 PM,,,RESIDENCE-GARAGE,FALSE
